"Date","Price","Open","High","Low","Change %"
"Aug 31, 2011","140.335","139.900","140.945","139.630","-0.04"
"Sep 01, 2011","140.370","139.800","140.950","139.560","0.02"
"Sep 02, 2011","140.280","139.930","140.780","139.620","-0.06"
"Sep 05, 2011","140.105","139.450","140.665","138.920","-0.12"
"Sep 06, 2011","140.310","139.610","140.770","139.380","0.15"
"Sep 07, 2011","140.695","139.930","141.225","139.390","0.27"
"Sep 08, 2011","139.720","140.140","140.870","139.120","-0.69"
"Sep 09, 2011","139.500","139.230","140.740","138.640","-0.16"
"Sep 12, 2011","140.205","138.040","140.665","137.350","0.51"
"Sep 13, 2011","140.565","139.610","141.145","139.340","0.26"
"Sep 14, 2011","140.450","140.150","140.870","139.210","-0.08"
"Sep 15, 2011","140.600","139.950","141.030","139.670","0.11"
"Sep 16, 2011","140.720","140.080","141.060","139.840","0.09"
"Sep 19, 2011","140.505","138.890","141.045","138.620","-0.15"
"Sep 20, 2011","140.600","140.000","141.040","139.730","0.07"
"Sep 21, 2011","140.155","140.150","140.895","139.430","-0.32"
"Sep 22, 2011","140.380","139.780","140.840","139.290","0.16"
"Sep 23, 2011","140.215","139.910","141.015","139.350","-0.12"
"Sep 26, 2011","140.615","139.860","141.015","138.350","0.29"
"Sep 27, 2011","140.335","140.070","141.175","139.700","-0.20"
"Sep 28, 2011","140.255","139.820","141.385","139.320","-0.06"
"Sep 29, 2011","140.715","139.670","141.655","139.570","0.33"
"Sep 30, 2011","139.985","140.080","141.645","139.090","-0.52"
"Oct 03, 2011","140.455","138.830","141.345","138.560","0.34"
"Oct 04, 2011","140.600","139.970","140.940","139.740","0.10"
